Path, True_Label, Pred_Label, Confidence
datasets/cropped_val\剩饭剩菜\img_4372_0.jpg, 3, 28, 0.7933
datasets/cropped_val\调料瓶\img_15842_0.jpg, 31, 34, 0.7918
datasets/cropped_val\插头电线\img_17732_1.jpg, 12, 41, 0.7918
datasets/cropped_val\锅\img_2218_2.jpg, 38, 36, 0.7900
datasets/cropped_val\一次性快餐盒\img_237_3.jpg, 0, 18, 0.7899
datasets/cropped_val\塑料器皿\img_7082_2.jpg, 6, 20, 0.7889
datasets/cropped_val\果皮果肉\img_5550_0.jpg, 16, 26, 0.7887
datasets/cropped_val\塑料器皿\img_237_5.jpg, 6, 41, 0.7876
datasets/cropped_val\插头电线\img_13032_1.jpg, 12, 20, 0.7867
datasets/cropped_val\洗护用品\img_8208_0.jpg, 20, 32, 0.7860
datasets/cropped_val\插头电线\img_9933_0.jpg, 12, 25, 0.7818
datasets/cropped_val\污损塑料\img_5482_1.jpg, 18, 29, 0.7815
datasets/cropped_val\大骨头\img_3158_0.jpg, 9, 43, 0.7789
datasets/cropped_val\一次性快餐盒\img_56_2.jpg, 0, 18, 0.7789
datasets/cropped_val\陶瓷器皿\img_4508_1.jpg, 39, 28, 0.7786
datasets/cropped_val\菜帮菜叶\img_5610_1.jpg, 29, 18, 0.7777
datasets/cropped_val\陶瓷器皿\img_2504_25.jpg, 39, 3, 0.7753
datasets/cropped_val\陶瓷器皿\img_3621_1.jpg, 39, 16, 0.7743
datasets/cropped_val\金属器皿\img_913_1.jpg, 36, 21, 0.7741
datasets/cropped_val\金属器皿\img_5808_2.jpg, 36, 39, 0.7724
datasets/cropped_val\污损塑料\img_276_1.jpg, 18, 26, 0.7707
datasets/cropped_val\纸盒纸箱\img_13683_6.jpg, 26, 33, 0.7691
datasets/cropped_val\陶瓷器皿\img_13787_0.jpg, 39, 27, 0.7687
datasets/cropped_val\大骨头\img_2871_3.jpg, 9, 18, 0.7682
datasets/cropped_val\砧板\img_3270_1.jpg, 24, 16, 0.7680
datasets/cropped_val\花盆\img_18777_2.jpg, 27, 32, 0.7659
datasets/cropped_val\过期药物\img_19661_1.jpg, 33, 20, 0.7634
datasets/cropped_val\塑料器皿\img_2502_11.jpg, 6, 39, 0.7626
datasets/cropped_val\毛绒玩具\img_12532_0.jpg, 17, 15, 0.7593
datasets/cropped_val\饮料瓶\img_15515_5.jpg, 42, 18, 0.7590
datasets/cropped_val\纸盒纸箱\img_2759_1.jpg, 26, 9, 0.7587
datasets/cropped_val\过期药物\img_19649_1.jpg, 33, 20, 0.7547
datasets/cropped_val\金属食品罐\img_16818_0.jpg, 37, 6, 0.7543
datasets/cropped_val\金属器皿\img_4866_1.jpg, 36, 29, 0.7504
datasets/cropped_val\调料瓶\img_15692_0.jpg, 31, 34, 0.7503
datasets/cropped_val\剩饭剩菜\img_2378_1.jpg, 3, 39, 0.7491
datasets/cropped_val\陶瓷器皿\img_2467_5.jpg, 39, 6, 0.7490
datasets/cropped_val\塑料器皿\img_12885_3.jpg, 6, 20, 0.7470
datasets/cropped_val\易拉罐\img_11413_1.jpg, 14, 37, 0.7399
datasets/cropped_val\洗护用品\img_8119_0.jpg, 20, 23, 0.7375
datasets/cropped_val\陶瓷器皿\img_2488_6.jpg, 39, 25, 0.7342
datasets/cropped_val\易拉罐\img_11529_1.jpg, 14, 37, 0.7341
datasets/cropped_val\包\img_17483_1.jpg, 4, 12, 0.7333
datasets/cropped_val\茶叶渣\img_4448_0.jpg, 28, 29, 0.7315
datasets/cropped_val\一次性快餐盒\img_280_0.jpg, 0, 6, 0.7313
datasets/cropped_val\筷子\img_1862_0.jpg, 25, 22, 0.7304
datasets/cropped_val\陶瓷器皿\img_2480_16.jpg, 39, 3, 0.7303
datasets/cropped_val\大骨头\img_2871_0.jpg, 9, 3, 0.7291
datasets/cropped_val\一次性快餐盒\img_2615_2.jpg, 0, 39, 0.7287
datasets/cropped_val\纸盒纸箱\img_14954_1.jpg, 26, 24, 0.7259
datasets/cropped_val\插头电线\img_17577_1.jpg, 12, 41, 0.7257
datasets/cropped_val\塑料器皿\img_2486_18.jpg, 6, 39, 0.7223
datasets/cropped_val\金属厨具\img_2486_16.jpg, 35, 12, 0.7216
datasets/cropped_val\塑料器皿\img_5583_2.jpg, 6, 29, 0.7204
datasets/cropped_val\菜帮菜叶\img_5135_0.jpg, 29, 3, 0.7194
datasets/cropped_val\易拉罐\img_11614_0.jpg, 14, 10, 0.7189
datasets/cropped_val\污损用纸\img_3960_1.jpg, 19, 18, 0.7169
datasets/cropped_val\剩饭剩菜\img_2433_1.jpg, 3, 19, 0.7166
datasets/cropped_val\干电池\img_18611_1.jpg, 10, 26, 0.7161
datasets/cropped_val\一次性快餐盒\img_2615_3.jpg, 0, 39, 0.7142
datasets/cropped_val\陶瓷器皿\img_6038_1.jpg, 39, 30, 0.7119
datasets/cropped_val\一次性快餐盒\img_229_0.jpg, 0, 6, 0.7073
datasets/cropped_val\塑料器皿\img_8362_2.jpg, 6, 7, 0.7053
datasets/cropped_val\陶瓷器皿\img_2650_15.jpg, 39, 3, 0.7052
datasets/cropped_val\纸盒纸箱\img_13547_2.jpg, 26, 23, 0.7016
datasets/cropped_val\饮料瓶\img_17890_1.jpg, 42, 34, 0.7012
datasets/cropped_val\剩饭剩菜\img_2583_3.jpg, 3, 16, 0.7001
datasets/cropped_val\剩饭剩菜\img_15561_2.jpg, 3, 36, 0.6996
datasets/cropped_val\金属器皿\img_5768_1.jpg, 36, 39, 0.6986
datasets/cropped_val\剩饭剩菜\img_5758_3.jpg, 3, 30, 0.6962
datasets/cropped_val\污损塑料\img_2586_8.jpg, 18, 39, 0.6957
datasets/cropped_val\金属厨具\img_6523_1.jpg, 35, 43, 0.6918
datasets/cropped_val\易拉罐\img_11640_1.jpg, 14, 6, 0.6916
datasets/cropped_val\果皮果肉\img_3838_7.jpg, 16, 29, 0.6914
datasets/cropped_val\纸盒纸箱\img_7978_1.jpg, 26, 33, 0.6890
datasets/cropped_val\剩饭剩菜\img_2586_0.jpg, 3, 16, 0.6856
datasets/cropped_val\剩饭剩菜\img_2567_0.jpg, 3, 18, 0.6791
datasets/cropped_val\金属器皿\img_15515_8.jpg, 36, 39, 0.6777
datasets/cropped_val\书籍纸张\img_17055_1.jpg, 1, 38, 0.6769
datasets/cropped_val\干电池\img_18277_1.jpg, 10, 12, 0.6769
datasets/cropped_val\剩饭剩菜\img_2504_13.jpg, 3, 25, 0.6768
datasets/cropped_val\调料瓶\img_15971_0.jpg, 31, 20, 0.6760
datasets/cropped_val\蛋壳\img_5769_1.jpg, 30, 3, 0.6759
datasets/cropped_val\剩饭剩菜\img_2583_1.jpg, 3, 19, 0.6725
datasets/cropped_val\调料瓶\img_15488_1.jpg, 31, 39, 0.6724
datasets/cropped_val\污损塑料\img_8230_2.jpg, 18, 21, 0.6721
datasets/cropped_val\陶瓷器皿\img_2504_27.jpg, 39, 3, 0.6707
datasets/cropped_val\旧衣服\img_10947_0.jpg, 13, 17, 0.6692
datasets/cropped_val\鱼骨\img_6646_0.jpg, 43, 3, 0.6660
datasets/cropped_val\污损塑料\img_17971_1.jpg, 18, 22, 0.6654
datasets/cropped_val\果皮果肉\img_3371_0.jpg, 16, 28, 0.6639
datasets/cropped_val\玻璃器皿\img_1016_1.jpg, 23, 21, 0.6608
datasets/cropped_val\金属器皿\img_13576_0.jpg, 36, 23, 0.6585
datasets/cropped_val\调料瓶\img_15488_0.jpg, 31, 6, 0.6560
datasets/cropped_val\污损塑料\img_10213_1.jpg, 18, 12, 0.6551
datasets/cropped_val\烟蒂\img_3401_2.jpg, 21, 16, 0.6548
datasets/cropped_val\大骨头\img_3084_1.jpg, 9, 18, 0.6528
datasets/cropped_val\污损塑料\img_2230_5.jpg, 18, 0, 0.6495
datasets/cropped_val\筷子\img_58_2.jpg, 25, 0, 0.6477
datasets/cropped_val\鱼骨\img_6243_0.jpg, 43, 9, 0.6473
datasets/cropped_val\果皮果肉\img_3303_0.jpg, 16, 39, 0.6472
datasets/cropped_val\菜帮菜叶\img_2480_8.jpg, 29, 3, 0.6454
datasets/cropped_val\果皮果肉\img_3354_1.jpg, 16, 23, 0.6418
datasets/cropped_val\污损塑料\img_5043_1.jpg, 18, 29, 0.6413
datasets/cropped_val\书籍纸张\img_19650_1.jpg, 1, 33, 0.6393
datasets/cropped_val\垃圾桶\img_5139_5.jpg, 5, 18, 0.6380
datasets/cropped_val\塑料器皿\img_5639_1.jpg, 6, 0, 0.6375
datasets/cropped_val\塑料器皿\img_2502_5.jpg, 6, 39, 0.6367
datasets/cropped_val\筷子\img_2703_11.jpg, 25, 12, 0.6353
datasets/cropped_val\饮料瓶\img_17971_0.jpg, 42, 14, 0.6348
datasets/cropped_val\陶瓷器皿\img_6295_1.jpg, 39, 43, 0.6335
datasets/cropped_val\调料瓶\img_15537_0.jpg, 31, 34, 0.6323
datasets/cropped_val\锅\img_17403_1.jpg, 38, 39, 0.6296
datasets/cropped_val\污损用纸\img_163_3.jpg, 19, 18, 0.6282
datasets/cropped_val\陶瓷器皿\img_3204_1.jpg, 39, 9, 0.6214
datasets/cropped_val\陶瓷器皿\img_1684_0.jpg, 39, 38, 0.6212
datasets/cropped_val\书籍纸张\img_6394_1.jpg, 1, 19, 0.6203
datasets/cropped_val\陶瓷器皿\img_4545_1.jpg, 39, 30, 0.6181
datasets/cropped_val\枕头\img_11795_0.jpg, 15, 4, 0.6173
datasets/cropped_val\剩饭剩菜\img_2433_3.jpg, 3, 19, 0.6148
datasets/cropped_val\陶瓷器皿\img_3371_1.jpg, 39, 28, 0.6143
datasets/cropped_val\污损塑料\img_5610_2.jpg, 18, 29, 0.6141
datasets/cropped_val\塑料器皿\img_17994_2.jpg, 6, 39, 0.6128
datasets/cropped_val\塑料玩具\img_000113_1.jpg, 7, 18, 0.6096
datasets/cropped_val\果皮果肉\img_3838_6.jpg, 16, 29, 0.6094
datasets/cropped_val\陶瓷器皿\img_1383_0.jpg, 39, 34, 0.6089
datasets/cropped_val\酒瓶\img_16426_0.jpg, 34, 31, 0.6080
datasets/cropped_val\过期药物\img_19604_1.jpg, 33, 20, 0.6039
datasets/cropped_val\玻璃器皿\img_4529_4.jpg, 23, 18, 0.6034
datasets/cropped_val\过期药物\img_19316_2.jpg, 33, 12, 0.6034
datasets/cropped_val\调料瓶\img_15980_1.jpg, 31, 39, 0.6023
datasets/cropped_val\锅\img_3557_1.jpg, 38, 36, 0.6022
datasets/cropped_val\玻璃器皿\img_15566_5.jpg, 23, 0, 0.6019
datasets/cropped_val\塑料玩具\img_12596_1.jpg, 7, 17, 0.5998
datasets/cropped_val\污损塑料\img_4913_7.jpg, 18, 25, 0.5990
datasets/cropped_val\陶瓷器皿\img_2650_24.jpg, 39, 27, 0.5943
datasets/cropped_val\锅\img_17611_1.jpg, 38, 0, 0.5911
datasets/cropped_val\污损塑料\img_8231_4.jpg, 18, 39, 0.5908
datasets/cropped_val\玻璃器皿\img_13421_0.jpg, 23, 38, 0.5887
datasets/cropped_val\过期药物\img_18998_1.jpg, 33, 26, 0.5876
datasets/cropped_val\饮料瓶\img_17931_0.jpg, 42, 21, 0.5875
datasets/cropped_val\菜帮菜叶\img_5143_1.jpg, 29, 18, 0.5855
datasets/cropped_val\垃圾桶\img_3581_1.jpg, 5, 6, 0.5840
datasets/cropped_val\陶瓷器皿\img_2720_10.jpg, 39, 3, 0.5814
datasets/cropped_val\茶叶渣\img_4529_3.jpg, 28, 39, 0.5785
datasets/cropped_val\调料瓶\img_15981_0.jpg, 31, 23, 0.5783
datasets/cropped_val\插头电线\img_17801_1.jpg, 12, 41, 0.5782
datasets/cropped_val\陶瓷器皿\img_2577_12.jpg, 39, 6, 0.5777
datasets/cropped_val\调料瓶\img_15730_0.jpg, 31, 41, 0.5771
datasets/cropped_val\陶瓷器皿\img_2650_10.jpg, 39, 16, 0.5770
datasets/cropped_val\污损塑料\img_339_0.jpg, 18, 28, 0.5768
datasets/cropped_val\鱼骨\img_6731_0.jpg, 43, 3, 0.5768
datasets/cropped_val\玻璃器皿\img_13384_1.jpg, 23, 42, 0.5758
datasets/cropped_val\金属器皿\img_2676_19.jpg, 36, 39, 0.5746
datasets/cropped_val\大骨头\img_2964_0.jpg, 9, 16, 0.5743
datasets/cropped_val\果皮果肉\img_3224_1.jpg, 16, 39, 0.5726
datasets/cropped_val\剩饭剩菜\img_233_1.jpg, 3, 16, 0.5711
datasets/cropped_val\金属食品罐\img_16479_0.jpg, 37, 3, 0.5710
datasets/cropped_val\金属器皿\img_2871_1.jpg, 36, 18, 0.5707
